Date,Day of the Week,Sleep_Hours,Work_Hours,Study_Hours,Chore_Time_Mins,Distraction_Time_Mins,Travel Time (Hours),Mode of Transport,Music_Time_Hours,Main_Music_Genre,Tasks_Completed,Mood_Rating,Focus_Rating,Notes,Computed_Day,Day_Match,Is_Weekend,Transport_Public_Transport,Transport_Motorcycle,Genre_Rock,Genre_OPM,Genre_Podcast,Genre_Jazz,Genre_Lofi,Genre_Classical,Genre_News,Genre_Pop,Genre_Oldies,Genre_RandB,KMeans_Cluster,Hierarchical_Cluster,DBSCAN_Cluster,GMM_Cluster
2025-12-17,Monday,6.0,7.0,3.35,39.0,240.0,3.0,"Public Transport, Motorcycle",4.0,"Jazz, News",4.0,2.0,2.0,wednesday,Wednesday,False,False,1,1,0,0,0,1,0,0,1,0,0,0,0,2,1,0
2025-12-18,Tuesday,6.0,5.0,7.75,30.0,195.0,1.5,Public Transport,5.0,"Pop, R&B",6.0,5.0,5.0,"not stresed this day, not too much customer",Thursday,False,False,1,0,0,0,0,0,0,0,0,1,0,1,0,2,-1,2
2025-12-19,Wednesday,7.0,8.0,2.216666667,45.0,200.0,2.7,Public Transport,4.0,"News, Podcast, Jazz",4.0,3.0,2.0,Busiest day of the week,Friday,False,False,1,0,0,0,1,1,0,0,1,0,0,0,0,2,1,0
2025-12-20,Thursday,5.0,2.0,11.73333333,60.0,175.0,1.35,"Public Transport, Motorcycle",7.0,Jazz,6.0,4.0,4.0,Focused on learning and school works,Saturday,False,True,1,1,0,0,0,1,0,0,0,0,0,0,0,2,-1,2
2025-12-21,Friday,6.0,8.0,3.533333333,130.0,195.0,1.05,Public Transport,4.0,Rock,2.0,2.0,3.0,"No classes, work and cant study due to exhausion",Sunday,False,True,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,2
2025-12-22,Monday,6.0,8.0,1.7,130.0,200.0,2.8,"Public Transport, Motorcycle",5.0,Lofi,2.0,3.0,2.0,,Monday,True,False,1,1,0,0,0,0,1,0,0,0,0,0,0,2,1,0
2025-12-23,Tuesday,6.0,8.0,3.833333333,100.0,195.0,1.25,Public Transport,3.0,R&B,2.0,4.0,4.0,,Tuesday,True,False,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2
2025-12-24,Wednesday,10.0,0.0,1.05,300.0,300.0,2.95,Public Transport,6.0,Oldies,3.0,5.0,5.0,Merry Christmans,Wednesday,True,False,1,0,0,0,0,0,0,0,0,0,1,0,2,0,-1,1
2025-12-25,Thursday,8.0,0.0,3.766666667,400.0,250.0,1.4,"Public Transport, Motorcycle",12.0,Oldies,1.0,5.0,5.0,Merry Christmans,Thursday,True,False,1,1,0,0,0,0,0,0,0,0,1,0,2,0,-1,1
2025-12-26,Friday,11.0,0.0,1.016666667,300.0,350.0,1.15,Public Transport,12.0,Rock,1.0,3.0,2.0,cook and baking,Friday,True,False,1,0,1,0,0,0,0,0,0,0,0,0,2,0,-1,1
2025-12-27,Monday,9.0,0.0,1.0,400.0,284.0,2.6,"Public Transport, Motorcycle",13.0,News,1.0,2.0,2.0,clean house,Saturday,False,True,1,1,0,0,0,0,0,0,1,0,0,0,2,0,-1,1
2025-12-28,Tuesday,12.0,2.0,3.833333333,100.0,210.0,1.0,Public Transport,7.0,R&B,3.0,4.0,4.0,small work,Sunday,False,True,1,0,0,0,0,0,0,0,0,0,0,1,2,0,-1,2
2025-12-29,Wednesday,6.0,8.0,1.65,90.0,240.0,2.85,Public Transport,5.0,Lofi,3.0,2.0,4.0,Back to work,Monday,False,False,1,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0
2025-12-30,Thursday,12.0,0.0,0.0,200.0,430.0,1.5,"Public Transport, Motorcycle",7.0,Podcast,3.0,4.0,4.0,Rizal day,Tuesday,False,False,1,1,0,0,1,0,0,0,0,0,0,0,2,0,-1,2
2025-12-31,Friday,8.0,0.0,4.7,100.0,500.0,1.3,Public Transport,7.0,Classical,3.0,5.0,5.0,New year,Wednesday,False,False,1,0,0,0,0,0,0,1,0,0,0,0,2,0,-1,2
2026-01-01,Monday,2.0,0.0,6.75,300.0,450.0,2.75,"Public Transport, Motorcycle",12.0,Oldies,0.0,4.0,2.0,New year,Thursday,False,False,1,1,0,0,0,0,0,0,0,0,1,0,2,0,-1,1
2026-01-02,Tuesday,12.0,1.0,0.0,200.0,388.0,1.2,Public Transport,8.0,News,2.0,3.0,4.0,gaming day,Friday,False,False,1,0,0,0,0,0,0,0,1,0,0,0,2,0,-1,2
2026-01-03,Wednesday,6.0,0.0,7.6,100.0,350.0,2.9,Public Transport,5.0,Pop,2.0,4.0,3.0,gaming day,Saturday,False,True,1,0,0,0,0,0,0,0,0,1,0,0,2,0,-1,2
2026-01-04,Thursday,7.0,1.0,10.56666667,19.0,240.0,1.1,"Public Transport, Motorcycle",3.0,Classical,2.0,2.0,1.0,sunday,Sunday,False,True,1,1,0,0,0,0,0,1,0,0,0,0,0,0,-1,2
2026-01-05,Friday,6.0,7.0,5.05,30.0,240.0,1.45,Public Transport,2.0,Lofi,4.0,3.0,3.0,work day birthday ni mama,Monday,False,False,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,2
2026-01-06,Monday,6.0,8.0,2.5,60.0,240.0,2.5,"Public Transport, Motorcycle",2.0,Lofi,5.0,2.0,5.0,,Tuesday,False,False,1,1,0,0,0,0,1,0,0,0,0,0,0,2,-1,0
2026-01-07,Tuesday,5.0,8.0,2.6,60.0,330.0,1.4,Public Transport,2.0,Pop,4.0,4.0,4.0,Mamas bday unlimited buffet with fam and company and gf,Wednesday,False,False,1,0,0,0,0,0,0,0,0,1,0,0,0,2,-1,0
2026-01-08,Wednesday,6.0,6.0,4.0,60.0,240.0,3.0,Public Transport,8.0,"R&B, News",4.0,5.0,4.0,,Thursday,False,False,1,0,0,0,0,0,0,0,1,0,0,1,0,2,-1,0
2026-01-09,Thursday,7.0,8.0,2.25,90.0,240.0,1.25,"Public Transport, Motorcycle",6.0,Lofi,3.0,4.0,2.0,Friday Payday,Friday,False,False,1,1,0,0,0,0,1,0,0,0,0,0,0,2,2,2
2026-01-10,Friday,8.0,0.0,8.783333333,70.0,300.0,1.05,Public Transport,5.0,Classical,3.0,2.0,1.0,Study day,Saturday,False,True,1,0,0,0,0,0,0,1,0,0,0,0,2,0,-1,2
2026-01-11,Saturday,12.0,1.0,2.666666667,200.0,240.0,1.0,Public Transport,5.0,Oldies,2.0,4.0,3.0,Home Cleaning day,Sunday,False,True,1,0,0,0,0,0,0,0,0,0,1,0,2,0,-1,2
2026-01-12,Sunday,7.0,6.0,5.333333333,60.0,220.0,1.0,Public Transport,3.0,Pop,3.0,4.0,2.0,Monday Again????,Monday,False,False,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,2
2026-01-13,Monday,6.0,8.0,2.366666667,50.0,240.0,2.8,"Public Transport, Motorcycle",5.0,"Podcast, Rock",5.0,2.0,1.0,Problems everywhere from school to work,Tuesday,False,False,1,1,1,0,1,0,0,0,0,0,0,0,0,2,1,0
2026-01-14,Tuesday,6.0,5.0,6.166666667,70.0,250.0,1.5,Public Transport,1.0,Jazz,2.0,5.0,3.0,School works half day from work,Wednesday,False,False,1,0,0,0,0,1,0,0,0,0,0,0,0,2,-1,2
2026-01-15,Wednesday,7.0,7.0,3.583333333,35.0,230.0,2.0,Public Transport,0.0,,4.0,3.0,3.0,,Thursday,False,False,1,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,2
2026-01-16,Thursday,6.0,8.0,3.4,60.0,270.0,1.1,"Public Transport, Motorcycle",8.0,"Podcast, R&B",3.0,4.0,5.0,Pay day!,Friday,False,False,1,1,0,0,1,0,0,0,0,0,0,1,0,2,2,2
2026-01-17,Friday,8.0,2.0,4.05,60.0,450.0,1.45,Public Transport,8.0,"Pop, Rock",3.0,3.0,2.0,House day Clean day,Saturday,False,True,1,0,1,0,0,0,0,0,0,1,0,0,2,0,-1,2
2026-01-18,Saturday,10.0,0.0,6.5,90.0,300.0,1.0,Public Transport,6.0,"Classical, Podcast",2.0,4.0,4.0,Clean day relax day,Sunday,False,True,1,0,0,0,1,0,0,1,0,0,0,0,2,0,-1,2
2026-01-19,Sunday,6.0,6.0,5.0,60.0,300.0,1.0,Public Transport,4.0,"R&B, News",5.0,2.0,1.0,Monday Busy day,Monday,False,False,1,0,0,0,0,0,0,0,1,0,0,1,0,2,0,2
2026-01-20,Monday,7.0,9.0,4.0,20.0,70.0,2.5,"Public Transport, Motorcycle",6.0,"OPM, Podcast",8.0,4.0,3.0,Big sales in shop,Tuesday,False,False,1,1,0,1,1,0,0,0,0,0,0,0,0,2,-1,0
2026-01-21,Tuesday,6.0,7.0,6.05,20.0,205.0,1.2,Public Transport,7.0,Lofi,5.0,3.0,5.0,Making Thesis sprint,Wednesday,False,False,1,0,0,0,0,0,1,0,0,0,0,0,0,2,-1,2
2026-01-22,Wednesday,6.0,7.0,4.0,60.0,186.0,2.9,Public Transport,5.0,Pop,3.0,4.0,3.0,work and school,Thursday,False,False,1,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0
2026-01-23,Thursday,8.0,8.0,2.0,90.0,204.0,1.1,"Public Transport, Motorcycle",5.0,Rock,4.0,5.0,4.0,Pay day!,Friday,False,False,1,1,1,0,0,0,0,0,0,0,0,0,0,2,2,2
2026-01-24,Friday,6.0,3.0,9.0,120.0,153.0,1.45,Public Transport,3.0,Classical,6.0,2.0,1.0,Stressed due to thesis,Saturday,False,True,1,0,0,0,0,0,0,1,0,0,0,0,0,2,-1,2
2026-01-25,Saturday,10.0,0.0,3.0,300.0,300.0,1.0,Public Transport,9.0,R&B,3.0,3.0,2.0,Clean day on work and home,Sunday,False,True,1,0,0,0,0,0,0,0,0,0,0,1,2,0,-1,2
2026-01-26,Sunday,7.0,6.0,4.15,90.0,260.0,1.0,Public Transport,7.0,"Pop, Rock",4.0,4.0,5.0,Monday again?,Monday,False,False,1,0,1,0,0,0,0,0,0,1,0,0,0,2,-1,2
2026-01-27,Monday,7.0,8.0,2.1,80.0,180.0,2.5,"Public Transport, Motorcycle",4.0,R&B,6.0,2.0,2.0,work and thesis,Tuesday,False,False,1,1,0,0,0,0,0,0,0,0,0,1,0,2,-1,0
2026-01-28,Tuesday,6.0,9.0,1.0,90.0,318.0,1.2,Public Transport,6.0,Rock,2.0,2.0,3.0,Busy day on work and house that i did not do thesis,Wednesday,False,False,1,0,1,0,0,0,0,0,0,0,0,0,0,2,-1,2
2026-01-29,Wednesday,7.0,7.0,4.0,90.0,95.0,2.9,Public Transport,4.0,"News, Pop",3.0,4.0,4.0,going to school after work,Thursday,False,False,1,0,0,0,0,0,0,0,1,1,0,0,0,2,-1,0
2026-01-30,Thursday,7.0,8.0,1.0,120.0,285.0,1.1,"Public Transport, Motorcycle",7.0,Lofi,5.0,5.0,3.0,Pay day!,Friday,False,False,1,1,0,0,0,0,1,0,0,0,0,0,0,2,-1,0
2026-01-31,Friday,8.0,1.0,6.0,150.0,303.0,1.45,Public Transport,5.0,Classical,4.0,2.0,2.0,Clean day,Saturday,False,True,1,0,0,0,0,0,0,1,0,0,0,0,2,0,-1,2
2026-02-01,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,Sunday,False,True,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1
2026-02-02,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,Monday,False,False,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1
2026-02-03,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,Tuesday,False,False,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1
2026-02-04,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,Wednesday,False,False,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1
2026-02-05,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,Thursday,False,False,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1
2026-02-06,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,Friday,False,False,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1
2026-02-07,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,Saturday,False,True,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1
